nodenum	simstate
1	2
2	2
3	1
4	1
5	2
6	2
7	4
8	4
9	3
10	2
11	2
12	4
13	4
14	2
15	2
16	2
17	2
18	4
19	2
20	2
21	2
22	3
23	4
24	2
25	4
26	2
27	2
28	3
29	3
30	2
31	2
32	2
33	2
34	2
35	2
36	2
37	3
38	2
39	2
40	2
41	2
42	2
43	2
44	2
45	2
46	2
47	2
48	2
49	2
50	3
51	3
52	2
53	2
54	2
55	2
56	4
57	1
58	4
59	2
60	2
61	2
62	2
63	2
64	2
65	2
66	4
67	4
68	2
69	2
70	2
71	2
72	2
73	2
74	2
75	2
76	2
77	2
78	3
79	2
80	2
81	2
82	2
83	2
84	2
85	3
86	4
87	3
88	2
89	2
90	2
91	2
92	2
93	2
94	2
95	2
96	2
97	2
98	3
99	3
100	2
101	2
