nodenum	simstate
1	4
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	4
11	1
12	2
13	3
14	4
15	2
16	3
17	2
18	2
19	2
20	2
21	2
22	2
23	4
24	2
25	2
26	2
27	4
28	4
29	2
30	2
31	2
32	2
33	2
34	2
35	2
36	2
37	4
38	2
39	2
40	2
41	2
42	4
43	2
44	2
45	2
46	2
47	3
48	3
49	2
50	2
51	3
52	2
53	1
54	4
55	2
56	4
57	2
58	2
59	2
60	2
61	2
62	2
63	2
64	3
65	4
66	2
67	2
68	2
69	2
70	3
71	2
72	1
73	2
74	3
75	2
76	2
77	2
78	4
79	2
80	2
81	3
82	3
83	4
84	1
85	1
86	2
87	2
88	4
89	2
90	3
91	3
92	3
93	1
94	2
95	1
96	3
97	2
98	2
99	3
100	3
101	2
102	2
103	3
104	3
105	2
106	2
107	4
108	3
109	2
110	2
111	3
112	3
113	4
114	4
115	4
116	2
117	2
118	3
119	2
120	3
121	4
122	3
123	1
124	2
125	2
126	1
127	3
128	2
129	2
130	4
131	2
132	3
133	4
134	2
135	2
136	4
137	2
138	3
139	4
140	4
141	2
142	2
143	2
144	2
145	1
146	1
147	2
148	2
149	2
150	2
151	2
152	2
153	2
154	2
155	1
156	2
157	2
158	3
159	1
160	1
161	1
162	3
163	1
164	2
165	3
166	3
167	4
168	3
169	2
170	2
171	1
172	2
173	2
174	4
175	2
176	2
177	2
178	2
179	4
180	3
181	3
182	3
183	2
184	3
185	1
186	3
187	2
188	1
189	2
190	2
191	1
192	2
193	2
194	2
195	3
196	3
197	2
198	2
199	1
200	2
201	2
202	2
203	3
204	3
205	2
206	4
207	4
208	2
209	3
210	2
211	2
212	3
213	3
214	4
215	2
216	2
217	2
218	2
219	4
220	3
221	2
222	2
223	4
224	2
225	3
226	3
227	2
228	1
229	1
230	3
231	3
232	2
233	3
234	3
235	3
236	2
237	3
238	2
239	3
240	3
241	2
242	2
243	2
244	2
245	1
246	2
247	2
248	4
249	4
250	2
251	2
252	2
253	4
254	4
255	4
256	3
257	2
258	4
259	2
260	4
261	3
262	2
263	2
264	1
265	1
266	3
267	2
268	2
269	1
270	2
271	4
272	2
273	2
274	2
275	2
276	2
277	2
278	2
279	2
280	1
281	2
282	3
283	3
284	3
285	2
286	2
287	3
288	3
289	3
290	3
291	4
292	1
293	1
294	3
295	4
296	3
297	3
298	4
299	2
300	2
301	3
302	3
303	2
304	2
305	3
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	2
314	1
315	3
316	2
317	3
318	4
319	1
320	2
321	3
322	3
323	3
324	3
325	2
326	2
327	2
328	3
329	3
330	3
331	3
332	2
333	3
334	3
335	2
336	1
337	1
338	3
339	1
340	3
341	2
342	2
343	2
344	2
345	2
346	3
347	4
348	3
349	3
350	2
351	2
352	4
353	3
354	2
355	2
356	3
357	3
358	2
359	2
360	3
361	3
362	1
363	1
364	1
365	2
366	2
367	3
368	3
369	3
370	2
371	2
372	1
373	1
374	1
375	1
376	3
377	3
378	3
379	2
380	2
381	3
382	3
383	1
384	2
385	2
386	1
387	1
388	3
389	3
390	2
391	2
392	2
393	2
394	2
395	4
396	4
397	3
398	1
399	1
400	1
401	1
402	1
403	1
404	1
405	2
406	3
407	3
408	3
409	2
410	2
411	2
412	2
413	2
414	2
415	2
416	1
417	1
418	2
419	3
420	2
421	4
422	2
423	2
424	3
425	3
426	2
427	2
