d_val	e_val	j_val	lambda_val	mu_val1	Julia_sum_lq_nFv6	rootstates_lnL_nFv6	Julia_total_lnLs1_nFv6	bgb_lnl_nFv6	Julia_sum_lq_GFv6	rootstates_lnL_GFv6	Julia_total_lnLs1_GFv6	bgb_lnl_GFv6	Julia_sum_lq_GFv6a	rootstates_lnL_GFv6a	Julia_total_lnLs1_GFv6a	bgb_lnl_GFv6a
0.5	0.0	0.1	0.3	0.5	-115.65598395150548	-6.5735896437082	-122.22957359521368	-82.52954034158111	-115.66320301052285	-6.573779906301809	-122.23698291682466	-82.53696930998734	-108.3953303856762	-6.448006823898532	-114.84333720957474	-75.23523492231655
0.5	0.0	0.1	0.3	1.0	-129.7750579457313	-6.596020406816001	-136.3710783525473	-96.65738388649095	-129.77406649488535	-6.595165484007758	-136.3692319788931	-96.65558801020742	-120.93101699394487	-6.612068519073443	-127.54308551301831	-87.81806624762248
0.5	0.0	1.0	0.3	0.0	-127.75534619908501	-2.9290238661313506	-130.68437006521637	-93.01860705437718	-127.75269560647901	-2.9468871648637074	-130.6995827713427	-93.0289402341061	-127.75956807300827	-2.9288104004083526	-130.68837847341663	-93.02268306469128
0.5	0.0	1.0	0.3	0.5	-115.65598395150536	-6.573589643708214	-122.22957359521358	-82.529540341581	-115.66320301052278	-6.573779906301473	-122.23698291682425	-82.53696930998694	-108.39533038566424	-6.4480068238990205	-114.84333720956326	-75.2352349223047
0.5	0.0	1.0	0.3	1.0	-129.77505794573156	-6.596020406816005	-136.37107835254756	-96.6573838864912	-129.7740664948856	-6.595165484007684	-136.36923197889328	-96.65558801020765	-120.9310169939554	-6.612068519073388	-127.54308551302879	-87.81806624763297
0.5	0.5	0.0	0.3	0.0	-97.4447867196879	-6.8634882988777	-104.3082750185656	-64.59271543486352	-97.52268447398004	-6.921463941411275	-104.44414841539131	-64.73412190290492	-97.44546487845318	-6.863477617699767	-104.30894249615295	-64.59338235249777
0.5	0.5	0.0	0.3	0.5	-107.87736178089179	-6.832599332773658	-114.70996111366544	-74.99141623893041	-107.68038618032506	-6.791793885465082	-114.47218006579014	-74.75088232408115	-94.79337404888204	-6.865737514609149	-101.6591115634912	-61.942868861183634
0.5	0.5	0.0	0.3	1.0	-126.24871440327513	-6.8293300354483195	-133.07804443872345	-93.35914915234275	-126.10423632706295	-6.911507785310196	-133.01574411237314	-93.30675695696803	-105.32286718884383	-6.860258784337383	-112.1831259731812	-72.46633234577729
0.5	0.5	0.1	0.3	0.0	-97.4447867196879	-6.863488298877701	-104.3082750185656	-64.59271543486352	-97.52268447396747	-6.921463941410765	-104.44414841537824	-64.73412190289184	-97.44546504018061	-6.863477588204334	-104.30894262838494	-64.59338248068482
0.5	0.5	0.1	0.3	0.5	-107.87736178089177	-6.832599332773657	-114.70996111366543	-74.99141623893041	-107.68038618009429	-6.791793885420156	-114.47218006551445	-74.75088232380267	-94.7933740488873	-6.865737514608021	-101.65911156349532	-61.94286886118764
0.5	0.5	0.1	0.3	1.0	-126.24871440327559	-6.829330035448321	-133.0780444387239	-93.3591491523432	-126.1042363277054	-6.911507785284913	-133.01574411299032	-93.30675695758362	-105.32286718891226	-6.8602587843459935	-112.18312597325824	-72.4663323458552
0.5	0.5	1.0	0.3	0.0	-97.4447867196879	-6.863488298877701	-104.3082750185656	-64.59271543486352	-97.52268447398802	-6.921463941411922	-104.44414841539995	-64.73412190291364	-97.44546505215558	-6.863477612606738	-104.30894266476233	-64.59338252012793
0.5	0.5	1.0	0.3	0.5	-107.8773617808918	-6.832599332773658	-114.70996111366546	-74.99141623893044	-107.68038618006287	-6.7917938854015585	-114.47218006546443	-74.75088232375168	-94.79337404885756	-6.865737514608677	-101.65911156346624	-61.94286886115862
0.5	0.5	1.0	0.3	1.0	-126.24871440327551	-6.829330035448321	-133.07804443872382	-93.35914915234312	-126.1042363265716	-6.911507785379037	-133.01574411195062	-93.30675695655415	-105.32286718877575	-6.860258784345331	-112.18312597312108	-72.46633234571794
0.5	1.0	0.0	0.3	0.0	-99.92740131313815	-7.001739428070866	-106.92914074120901	-67.23169624876272	-100.17715470178042	-7.0350065178079895	-107.21216121958841	-67.5183611615576	-99.916102330198	-7.00312643226321	-106.91922876246122	-67.22183720509008
0.5	1.0	0.0	0.3	0.5	-112.5444795323761	-6.962351396954801	-119.5068309293309	-79.80326535484733	-112.51211943137241	-7.011399591294882	-119.5235190226673	-79.82443100758294	-326.59792052095474	-6.8094841785047775	-333.4074046994595	-293.6891277473872
0.5	1.0	0.0	0.3	1.0	-132.26371776058613	-6.958189794914689	-139.22190755550082	-99.51773484490195	-132.19375203942886	-7.2812082877194415	-139.4749603271483	-100.18451563675717	-341.38644069576696	-6.806636151374703	-348.19307684714164	-308.4744258447626
0.5	1.0	0.1	0.3	0.0	-99.92740131313815	-7.001739428070865	-106.92914074120901	-67.23169624876272	-100.17715470184402	-7.035006517811116	-107.21216121965513	-67.51836116162471	-99.91452397871983	-7.002444025299687	-106.91696800401951	-67.21954616144029
0.5	1.0	0.1	0.3	0.5	-112.54447953237607	-6.962351396954801	-119.50683092933087	-79.8032653548473	-112.51211943252356	-7.011399591499296	-119.52351902402286	-79.82443100896595	-326.5979205208994	-6.809484178504781	-333.40740469940414	-293.68912774733184
0.5	1.0	0.1	0.3	1.0	-132.2637177605862	-6.958189794914689	-139.22190755550088	-99.51773484490201	-132.19375201723653	-7.281208280767923	-139.47496029800445	-100.18451560720428	-341.3864406957902	-6.806636151374733	-348.19307684716495	-308.47442584478586
0.5	1.0	1.0	0.3	0.0	-99.92740131313815	-7.001739428070865	-106.92914074120901	-67.23169624876272	-100.17715470177544	-7.035006517806446	-107.21216121958189	-67.51836116155087	-99.9179728430289	-7.002970449222681	-106.9209432922516	-67.2235677991454
0.5	1.0	1.0	0.3	0.5	-112.5444795323761	-6.962351396954802	-119.5068309293309	-79.80326535484733	-112.51211943250439	-7.011399591504561	-119.52351902400895	-79.82443100895267	-326.597920520988	-6.80948417850478	-333.40740469949276	-293.68912774742046
0.5	1.0	1.0	0.3	1.0	-132.2637177605862	-6.958189794914689	-139.22190755550088	-99.51773484490201	-132.1937519874577	-7.2812082720262605	-139.47496025948394	-100.18451556819662	-341.3864406958212	-6.806636151374676	-348.19307684719587	-308.4744258448168
1.0	0.0	0.0	0.3	0.0	-200.71218560027722	-3.273477113257444	-203.98566271353468	-166.09981974854614	-199.28719648683477	-4.147587396404542	-203.4347838832393	-166.3490922476843	-201.26226353643594	-3.273101706195951	-204.53536524263188	-166.64959728914673
1.0	0.0	0.0	0.3	0.5	-145.23493592211474	-6.6200373918932724	-151.85497331400802	-112.12631921357678	-145.23704646841372	-6.61878298121098	-151.8558294496247	-112.12717662504781	-1265.449227262801	-6.62007320653029	-1272.0693004693314	-1232.3406460494707
1.0	0.0	0.0	0.3	1.0	-156.03856871836538	-6.620057770046276	-162.65862648841167	-122.92997221615207	-156.0237032675521	-6.618827066401448	-162.64253033395354	-122.91387693431338	-814.6359292449977	-6.620073982070554	-821.2560032270683	-781.5273488075012
1.0	0.0	0.1	0.3	0.0	-200.7121856002772	-3.2734771132574494	-203.98566271353465	-166.0998197485461	-199.28719648683477	-4.147587396404542	-203.4347838832393	-166.3490922476843	-201.26226353643594	-3.2731017061959538	-204.53536524263188	-166.64959728914673
1.0	0.0	0.1	0.3	0.5	-145.23493592122003	-6.620037391425513	-151.85497331264554	-112.12631921221433	-145.23704627337605	-6.618783141778781	-151.85582941515483	-112.12717659066206	-1265.449227204939	-6.620073206530352	-1272.0693004114694	-1232.3406459916087
1.0	0.0	0.1	0.3	1.0	-156.03856871051258	-6.620057766452172	-162.65862647696474	-122.92997220470514	-156.02370389499717	-6.618827144591493	-162.64253103958868	-122.9138776399218	-814.6359295635185	-6.620073982077937	-821.2560035455964	-781.5273491260294
1.0	0.0	1.0	0.3	0.0	-200.71218560027722	-3.273477113257436	-203.98566271353465	-166.09981974854614	-199.28719648683477	-4.147587396404542	-203.4347838832393	-166.3490922476843	-201.26226353643594	-3.273101706195952	-204.53536524263188	-166.64959728914673
1.0	0.0	1.0	0.3	0.5	-145.23493592209928	-6.6200373918804525	-151.85497331397974	-112.1263192135485	-145.23704646326956	-6.6187829854072975	-151.85582944867687	-112.12717662410228	-1265.4492272455605	-6.620073206530308	-1272.0693004520908	-1232.34064603223
1.0	0.0	1.0	0.3	1.0	-156.03856871853964	-6.620057769913156	-162.6586264884528	-122.92997221619319	-156.0237032981831	-6.618827070501692	-162.6425303686848	-122.91387696904326	-814.6359320341822	-6.6200739820702665	-821.2560060162525	-781.5273515966855
1.0	0.5	0.0	0.3	0.0	-119.79945857658349	-6.763172232863572	-126.56263080944706	-86.83814322179614	-119.75234183675654	-6.671798839401089	-126.42414067615763	-86.69749453710588	-119.78778480837084	-6.763532127611561	-126.5513169359824	-86.82687500533675
1.0	0.5	0.0	0.3	0.5	-127.70020826612506	-6.751361881644367	-134.45157014776942	-94.72642396566516	-128.8519121962281	-6.747668151743407	-135.5995803479715	-95.87422389043545	-109.87432630027199	-6.760302794342142	-116.63462909461413	-76.90995531760831
1.0	0.5	0.0	0.3	1.0	-144.49896109654276	-6.750215115402022	-151.24917621194479	-111.52397019863741	-370.1399861587515	-6.948346498535581	-377.0883326572871	-337.40277997187434	-348.92033653867816	-6.689218835268233	-355.60955537394636	-315.8819746394381
1.0	0.5	0.1	0.3	0.0	-119.79945857658349	-6.763172232863572	-126.56263080944706	-86.83814322179614	-119.75234183676426	-6.671798839401677	-126.42414067616593	-86.69749453711424	-119.78879166435068	-6.7635459485227445	-126.55233761287343	-86.82789373907488
1.0	0.5	0.1	0.3	0.5	-127.70020826612486	-6.751361881644365	-134.45157014776922	-94.72642396566496	-128.85191219841033	-6.747668151559063	-135.5995803499694	-95.87422389242383	-109.87432630024225	-6.7603027943395135	-116.63462909458175	-76.9099553175758
1.0	0.5	0.1	0.3	1.0	-144.49896109654264	-6.750215115402019	-151.24917621194467	-111.5239701986373	-370.1399861569578	-6.948346498695129	-377.0883326556529	-337.4027799703014	-348.9203365386802	-6.689218835268241	-355.60955537394847	-315.88197463944016
1.0	0.5	1.0	0.3	0.0	-119.79945857658349	-6.763172232863572	-126.56263080944706	-86.83814322179614	-119.75234183675809	-6.67179883940218	-126.42414067616028	-86.69749453710855	-119.78737380735572	-6.76360908750398	-126.5509828948597	-86.8265623014523
1.0	0.5	1.0	0.3	0.5	-127.7002082661252	-6.751361881644367	-134.45157014776956	-94.7264239656653	-128.85191220019772	-6.74766815154778	-135.5995803517455	-95.87422389419919	-337.42478539859064	-6.689895532562511	-344.11468093115315	-304.3871225177862
1.0	0.5	1.0	0.3	1.0	-144.4989610965425	-6.750215115402021	-151.24917621194453	-111.52397019863716	-370.13998615701365	-6.948346499247038	-377.0883326562607	-337.40277997111514	-348.92033653866065	-6.689218835268222	-355.60955537392886	-315.8819746394206
1.0	1.0	0.0	0.3	0.0	-107.04086688110138	-6.873270468891244	-113.91413734999263	-74.19874723115606	-107.04548682972651	-6.852885470306218	-113.89837230003273	-74.18116301435228	-107.27066677678658	-6.878496451985979	-114.14916322877257	-74.43485190978873
1.0	1.0	0.0	0.3	0.5	-119.17478970896988	-6.854863191867381	-126.02965290083726	-86.31240301993742	-119.7098273114845	-6.15534404641601	-125.86517135790051	-86.16648670340871	-556.3072448806855	-6.744930206028652	-563.0521750867142	-523.3274199701966
1.0	1.0	0.0	0.3	1.0	-138.38444063969408	-6.853078381932389	-145.23751902162647	-105.52009787910652	-138.59661141118127	-6.724751231914353	-145.32136264309563	-105.59689306475107	-344.8860845651727	-6.870234354652605	-351.75631891982533	-312.0405411568007
1.0	1.0	0.1	0.3	0.0	-107.04086688110137	-6.873270468891243	-113.91413734999261	-74.19874723115603	-107.04548682972515	-6.852885470307743	-113.89837230003289	-74.18116301435262	-107.21823143618926	-6.8752845653385934	-114.09351600152785	-74.37866537272575
1.0	1.0	0.1	0.3	0.5	-119.17478970897054	-6.854863191867381	-126.02965290083792	-86.31240301993807	-119.70982729686895	-6.155344045412385	-125.86517134228134	-86.16648668787053	-101.3429723533577	-6.87237519206726	-108.21534754542495	-68.49979314378368
1.0	1.0	0.1	0.3	1.0	-138.3844406396929	-6.853078381932382	-145.2375190216253	-105.52009787910535	-138.59661140984824	-6.724751232433141	-145.32136264228137	-105.59689306395427	-344.88608456528425	-6.870234349542262	-351.7563189148265	-312.0405411512757
1.0	1.0	1.0	0.3	0.0	-107.04086688110138	-6.873270468891245	-113.91413734999263	-74.19874723115606	-107.04548682976328	-6.852885470305538	-113.89837230006881	-74.18116301438837	-107.20453250727392	-6.875418102420673	-114.07995060969459	-74.36490146410719
1.0	1.0	1.0	0.3	0.5	-119.17478970897074	-6.854863191867381	-126.02965290083812	-86.31240301993827	-119.70982734046396	-6.155344041613103	-125.86517138207707	-86.16648672811965	-556.3072449128526	-6.744930206028625	-563.0521751188812	-523.3274200023637
1.0	1.0	1.0	0.3	1.0	-138.38444063969297	-6.853078381932382	-145.23751902162536	-105.5200978791054	-138.5966114083909	-6.724751233026775	-145.3213626414177	-105.59689306310423	-572.3011508011331	-6.870234354827156	-579.1713851559603	-539.455607392962
