downpass_t	num_iters	branch_lnL	root_lnL	ttl_LnL	BGB_lnL	setup_t	Esolve_t	Ds_1calc_t	downpass_t2	Es_alg	Ds_alg	ttl_t
37.144	22	-1209.9868133611158	-15.943188245227587	-1225.9300016063432	-515.9087075366023	3.585	0.157	4.691302798982187	37.145	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	40.887
122.442	22	-1207.6154370356446	-15.887285298805672	-1223.5027223344503	-513.4734883162326	1.854	0.524	14.470407124681934	122.443	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	124.821
270.003	22	-1207.609678222255	-15.887462280590169	-1223.4971405028452	-513.4679062744725	1.219	1.051	33.85516284987277	270.004	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	272.274
514.832	22	-1207.6096988575116	-15.887463988055005	-1223.4971628455667	-513.4679286161137	1.195	3.233	62.90832061068703	514.832	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	519.26
1188.745	22	-1207.6096989738624	-15.887463990395831	-1223.4971629642582	-513.4679287348032	1.567	9.087	144.59435623409672	1188.745	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	1199.399
7.649	23076	-1209.9868133611158	-15.943188245227587	-1225.9300016063432	-515.9087075366023	1.247	0.16	0.30101526717557253	7.649	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	9.056000000000001
24.006	129186	-1207.6154370356446	-15.887285298805672	-1223.5027223344503	-513.4734883162326	2.132	0.56	1.0393638676844783	24.007	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	26.699
54.593	313720	-1207.609678222255	-15.887462280590169	-1223.4971405028452	-513.4679062744725	1.622	1.087	2.3908524173027983	54.594	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	57.303000000000004
101.615	614658	-1207.6096988575116	-15.887463988055005	-1223.4971628455667	-513.4679286161137	1.229	3.443	4.4642748091603055	101.615	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	106.28699999999999
223.263	1363367	-1207.6096989738624	-15.887463990395831	-1223.4971629642582	-513.4679287348032	1.211	9.066	10.13187531806616	223.264	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	233.541
5.389	22	-1237.5745643772348	-15.915790998496774	-1253.4903553757315	-543.4802849158426	1.284	0.162	3.392	8.781	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	Tsit5(stage_limiter! = trivial_limiter!, step_limiter! = trivial_limiter!, thread = static(false))	13.619
7.786	22	-1231.988789432351	-16.217315711097335	-1248.2061051434484	-538.2630934718946	1.646	0.499	4.577	12.364	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	Vern7(true)	19.086
11.942	22	-1238.9089674177428	-15.861191340025938	-1254.7701587577687	-544.7427579930428	1.602	1.567	7.409	19.351	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	Vern9(true)	29.929
13.134	22	-1238.9196576344757	-15.862740667686133	-1254.782398302162	-544.7550069522921	1.704	3.36	11.979	25.114	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	Vern9(true)	42.157
21.689	22	-1238.9171334737755	-15.863671181426179	-1254.7808046552016	-544.7533898655641	1.764	9.144	23.487	45.178	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	Vern9(true)	79.573
