d_val	e_val	j_val	lambda_val	mu_val1	Julia_sum_lq_nFv6	rootstates_lnL_nFv6	Julia_total_lnLs1_nFv6	bgb_lnl_nFv6	Julia_sum_lq_GFv6	rootstates_lnL_GFv6	Julia_total_lnLs1_GFv6	bgb_lnl_GFv6
0.0	0.0	0.0	0.3	0.0	-4.495748576969988	-2.9957322735539913	-7.491480850523979	-3.2726050256557784	-4.495720874252926	-2.9957322735539913	-7.491453147806918	-3.2725773229387167
0.0	0.0	0.0	0.3	0.5	-6.2383547064405285	-3.105583944229356	-9.343938650669884	-5.125062825801683	-6.23839142300285	-3.10558470938784	-9.34397613239069	-5.125100307522489
0.0	0.0	0.0	0.3	1.0	-8.272524335358352	-3.1559277593625747	-11.428452094720926	-7.209576269852726	-8.272383112342201	-3.155927452137905	-11.428310564480107	-7.209434739611907
0.0	0.0	0.1	0.3	0.0	-4.495748576969988	-2.995732273553991	-7.491480850523979	-3.2726050256557784	-4.495720874252927	-2.995732273553991	-7.491453147806919	-3.2725773229387176
0.0	0.0	0.1	0.3	0.5	-6.2383386977884605	-3.1055854137787473	-9.343924111567208	-5.125048286699007	-6.238391143627086	-3.105584310019349	-9.343975453646436	-5.125099628778235
0.0	0.0	0.1	0.3	1.0	-8.272571570783459	-3.155924871834627	-11.428496442618085	-7.209620617749885	-8.272624691920639	-3.1559247895855314	-11.42854948150617	-7.20967365663797
0.0	0.0	1.0	0.3	0.0	-4.495748576969988	-2.9957322735539913	-7.491480850523979	-3.2726050256557784	-4.495720874252926	-2.9957322735539913	-7.491453147806918	-3.2725773229387167
0.0	0.0	1.0	0.3	0.5	-6.2383430255081365	-3.105584158067759	-9.343927183575895	-5.125051358707694	-6.238370076838471	-3.1055860519669767	-9.343956128805448	-5.1250803039372475
0.0	0.0	1.0	0.3	1.0	-8.272444338546318	-3.15592780583163	-11.42837214437795	-7.209496319509749	-8.272401740098596	-3.1559290915508065	-11.428330831649403	-7.209455006781202
0.0	0.5	0.0	0.3	0.0	-6.136320047809255	-3.3550416558641487	-9.491361703673403	-5.2724858788052025	-6.1365028928500855	-3.3550401072073766	-9.491543000057462	-5.272667175189261
