nodenum	simstate
1	22
2	46
3	106
4	3
5	6
6	3
7	15
8	121
9	101
10	45
11	4
12	3
13	9
14	34
15	3
16	9
17	3
18	6
19	10
20	17
21	6
22	27
23	19
24	3
25	16
26	9
27	3
28	3
29	19
30	3
31	128
32	128
33	15
34	3
35	85
36	6
37	128
38	27
39	92
40	30
41	104
42	3
43	18
44	128
45	6
46	125
47	3
48	3
49	3
50	16
51	3
52	109
53	128
54	49
55	3
56	3
57	18
58	3
59	47
60	128
61	3
62	3
63	117
64	16
65	3
66	88
67	3
68	3
69	9
70	6
71	15
72	127
73	3
74	3
75	17
76	3
77	3
78	87
79	3
80	32
81	3
82	3
83	3
84	15
85	9
86	121
87	3
88	16
89	30
90	3
91	6
92	15
93	3
94	3
95	33
96	3
97	17
98	87
99	52
100	121
101	119
102	3
103	109
104	3
105	30
106	3
107	46
108	45
109	3
110	70
111	128
112	128
113	104
114	123
115	17
116	109
117	65
118	128
119	3
120	3
121	3
122	127
123	106
124	89
125	19
126	124
127	124
128	51
129	3
130	3
131	3
132	9
133	3
134	69
135	24
136	127
137	3
138	118
139	62
140	16
141	50
142	15
143	15
144	18
145	3
146	46
147	74
148	101
149	3
150	3
151	108
152	16
153	3
154	3
155	3
156	15
157	91
158	18
159	3
160	3
161	3
162	103
163	9
164	103
165	105
166	3
167	69
168	3
169	120
170	3
171	3
172	108
173	3
174	9
175	6
176	114
177	128
178	109
179	121
180	128
181	31
182	12
183	16
184	3
185	31
186	3
187	18
188	3
189	3
190	33
191	92
192	87
193	6
194	4
195	4
196	3
197	3
198	3
199	3
200	84
201	90
202	3
203	3
204	122
205	88
206	66
207	3
208	106
209	18
210	3
211	65
212	3
213	3
214	3
215	102
216	115
217	3
218	19
219	108
220	3
221	3
222	6
223	15
224	49
225	106
226	124
227	117
228	53
229	3
230	15
231	16
232	53
233	36
234	94
235	95
236	16
237	19
238	123
239	46
240	70
241	3
242	68
243	19
244	3
245	34
246	3
247	48
248	125
249	30
250	3
251	15
252	3
253	16
254	49
255	128
256	123
257	68
258	104
259	3
260	3
261	123
262	46
263	72
264	5
265	90
266	4
267	5
268	34
269	9
270	126
271	72
272	3
273	3
274	25
275	3
276	17
277	3
278	118
279	127
280	3
281	3
282	4
283	3
284	3
285	17
286	3
287	17
288	22
289	3
290	3
291	6
292	3
293	16
294	92
295	45
296	3
297	3
298	5
299	5
300	15
301	3
302	3
303	52
304	3
305	9
306	23
307	6
308	3
309	54
310	3
311	9
312	15
313	3
314	3
315	3
316	70
317	25
318	100
319	3
320	17
321	61
322	3
323	9
324	3
325	3
326	103
327	3
328	9
329	3
330	49
331	3
332	90
333	16
334	3
335	3
336	45
337	53
338	3
339	3
340	15
341	3
342	3
343	9
344	3
345	12
346	15
347	18
348	16
349	16
350	3
351	19
352	16
353	67
354	103
355	3
356	19
357	3
358	17
359	3
360	31
361	6
362	49
363	49
364	3
365	3
366	3
367	5
368	16
369	19
370	16
371	3
372	53
373	105
374	47
375	5
376	25
377	18
378	47
379	6
380	16
381	46
382	3
383	3
384	9
385	5
386	5
387	88
388	3
389	70
390	23
391	45
392	5
393	16
394	51
395	33
396	15
397	38
398	17
399	120
400	5
401	3
402	18
403	3
404	48
405	3
406	3
407	12
408	21
409	3
410	4
411	12
412	48
413	100
414	71
415	3
416	32
417	46
418	3
419	3
420	3
421	3
422	5
423	87
424	3
425	4
426	3
427	3
428	3
429	33
430	3
431	3
432	3
433	3
434	3
435	34
436	16
437	68
438	4
439	127
440	81
441	3
442	18
443	125
444	33
445	3
446	17
447	52
448	16
449	6
450	3
451	107
452	26
453	11
454	49
455	3
456	15
457	6
458	65
459	50
460	15
461	15
462	3
463	51
464	44
465	3
466	3
467	22
468	4
469	3
470	18
471	3
472	3
473	3
474	3
475	30
476	3
477	15
478	9
479	3
480	15
481	48
482	3
483	19
484	48
485	30
486	121
487	17
488	3
489	15
490	3
491	3
492	19
493	3
494	16
495	17
496	15
497	3
498	3
499	3
500	3
501	3
502	85
503	3
504	3
505	3
506	16
507	3
508	18
509	18
510	105
511	32
512	3
513	71
514	5
515	46
516	9
517	69
518	3
519	3
520	31
521	6
522	27
523	9
524	3
525	17
526	125
527	17
528	9
529	19
530	6
531	3
532	19
533	72
534	3
535	5
536	3
537	3
538	3
539	31
540	3
541	32
542	17
543	17
544	3
545	3
546	16
547	3
548	3
549	45
550	15
551	3
552	3
553	17
554	3
555	18
556	3
557	3
558	93
559	3
560	3
561	4
562	4
563	17
564	3
565	3
566	9
567	50
568	15
569	16
570	3
571	58
572	3
573	18
574	17
575	5
576	52
577	30
578	3
579	3
580	9
581	3
582	3
583	15
584	3
585	3
586	17
587	16
588	3
589	19
590	19
591	6
592	3
593	3
594	3
595	3
596	32
597	3
598	3
599	86
600	3
601	15
602	5
603	5
604	48
605	5
606	5
607	3
608	15
609	3
610	3
611	3
612	3
613	32
614	6
615	83
616	3
617	3
618	3
619	3
620	53
621	6
622	19
623	15
624	19
625	21
626	4
627	3
628	3
629	18
630	19
631	18
632	48
633	16
634	3
635	3
636	17
637	3
638	3
639	6
640	17
641	5
642	26
643	4
644	4
645	35
646	5
647	19
648	3
649	3
650	35
651	3
652	3
653	54
654	3
655	5
656	26
657	3
658	17
659	3
660	3
661	5
662	46
663	3
664	3
665	3
666	3
667	3
668	17
669	5
670	3
671	16
672	16
673	17
674	3
675	3
676	33
677	3
678	5
679	3
680	3
681	17
682	3
683	24
684	6
685	16
686	3
687	19
688	3
689	6
690	3
691	3
692	6
693	17
694	9
695	3
696	19
697	18
698	49
