event	i	j	val	vals_t
d	2	6	1.0e-12	1.0e-12
d	2	7	1.0e-12	1.0e-12
d	2	8	1.0e-12	1.0e-12
d	3	6	1.0e-12	1.0e-12
d	3	9	1.0e-12	1.0e-12
d	3	10	1.0e-12	1.0e-12
d	4	7	1.0e-12	1.0e-12
d	4	9	1.0e-12	1.0e-12
d	4	11	1.0e-12	1.0e-12
d	5	8	1.0e-12	1.0e-12
d	5	10	1.0e-12	1.0e-12
d	5	11	1.0e-12	1.0e-12
d	6	12	2.0e-12	2.0e-12
d	6	13	2.0e-12	2.0e-12
d	7	12	2.0e-12	2.0e-12
d	7	14	2.0e-12	2.0e-12
d	8	13	2.0e-12	2.0e-12
d	8	14	2.0e-12	2.0e-12
d	9	12	2.0e-12	2.0e-12
d	9	15	2.0e-12	2.0e-12
d	10	13	2.0e-12	2.0e-12
d	10	15	2.0e-12	2.0e-12
d	11	14	2.0e-12	2.0e-12
d	11	15	2.0e-12	2.0e-12
d	12	16	3.0e-12	3.0e-12
d	13	16	3.0e-12	3.0e-12
d	14	16	3.0e-12	3.0e-12
d	15	16	3.0e-12	3.0e-12
e	2	1	1.0e-12	1.0e-12
e	3	1	1.0e-12	1.0e-12
e	4	1	1.0e-12	1.0e-12
e	5	1	1.0e-12	1.0e-12
e	6	2	1.0e-12	1.0e-12
e	6	3	1.0e-12	1.0e-12
e	7	2	1.0e-12	1.0e-12
e	7	4	1.0e-12	1.0e-12
e	8	2	1.0e-12	1.0e-12
e	8	5	1.0e-12	1.0e-12
e	9	3	1.0e-12	1.0e-12
e	9	4	1.0e-12	1.0e-12
e	10	3	1.0e-12	1.0e-12
e	10	5	1.0e-12	1.0e-12
e	11	4	1.0e-12	1.0e-12
e	11	5	1.0e-12	1.0e-12
e	12	6	1.0e-12	1.0e-12
e	12	7	1.0e-12	1.0e-12
e	12	9	1.0e-12	1.0e-12
e	13	6	1.0e-12	1.0e-12
e	13	8	1.0e-12	1.0e-12
e	13	10	1.0e-12	1.0e-12
e	14	7	1.0e-12	1.0e-12
e	14	8	1.0e-12	1.0e-12
e	14	11	1.0e-12	1.0e-12
e	15	9	1.0e-12	1.0e-12
e	15	10	1.0e-12	1.0e-12
e	15	11	1.0e-12	1.0e-12
e	16	12	1.0e-12	1.0e-12
e	16	13	1.0e-12	1.0e-12
e	16	14	1.0e-12	1.0e-12
e	16	15	1.0e-12	1.0e-12
