genus,species,lowland,mountain,sexual_system,sexual_system_binary,single_variable,range_single_variable,sexual_system_source
Veronica,pimeleoides,0,1,H,H,2,2,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,pinguifolia,0,1,H,H,2,2,"Delph 1990 (H), Low 2005 (GD)"
Veronica,planopetiolata,0,1,H,H,2,2,"Garnock Jones 1976, Garnock-Jones 2023"
Veronica,poppelwellii,0,1,H,H,2,2,"Delph 1990, Garnock-Jones 2023"
Veronica,propinqua,0,1,H,H,2,2,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,pubescens,1,0,H,H,1,1,"Bayly and Kellow 2006 (GD), Garnock-Jones 2023 (H or GD)"
Veronica,pulvinaris,0,1,D,D,5,2,"Delph 1990 (D or GD), Garnock-Jones 2023 (D)"
Veronica,punicea,1,0,H,H,1,1,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,quadrifaria,0,1,D,D,5,2,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,rakaiensis,0,1,GD,D,5,2,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,raoulii,1,1,H,H,3,3,"Delph 1990, Garnock-Jones 2023"
Veronica,rigidula,1,1,H,H,3,3,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,rivalis,1,0,H,H,1,1,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,rupicola,1,1,GD,D,6,3,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,salicifolia,1,1,H,H,3,3,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,salicornioides,0,1,H,H,2,2,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,scopulorum,1,0,H,H,1,1,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,scrupea,0,1,H,H,2,2,Garnock-Jones 2023
Veronica,senex,1,0,H,H,1,1,Garnock-Jones 2023
Veronica,simulans,0,1,GD,D,5,2,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,societatis,0,1,H,H,2,2,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,spathulata,0,1,H,H,2,2,"Garnock Jones 1976, Garnock-Jones 2023"
Veronica,speciosa,1,0,H,H,1,1,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,stenophylla,1,1,GD,D,6,3,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,stricta,1,1,GD,D,6,3,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,strictissima,1,1,GD,D,6,3,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,subalpina,0,1,GD,D,5,2,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,subfulvida,1,1,H,H,3,3,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,tairawhiti,1,0,H,H,1,1,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,tetragona,0,1,H,H,2,2,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,tetrasticha,0,1,D,D,5,2,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,thomsonii,0,1,D,D,5,2,"Delph 1990 (D or GD), Garnock-Jones 2023 (D)"
Veronica,topiaria,0,1,GD,D,5,2,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,townsonii,1,1,GD,D,6,3,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,traversii,1,1,GD,D,6,3,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,treadwellii,0,1,GD,D,5,2,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,trifida,0,1,H,H,2,2,"Garnock Jones 1976, Garnock-Jones 2023"
Veronica,truncatula,0,1,GD,D,5,2,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,venustula,1,1,H,H,3,3,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,vernicosa,0,1,H,H,2,2,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,zygantha,0,1,H,H,2,2,"Garnock Jones 1976, Garnock-Jones 2023"
