event	i	j	k	pair	wt	prob	rate	val	rates_t
y	1	1	1	1	0.9666666666666667	1.0	0.005391790171635805	0.005391790171635805	0.005391790171635805
j	1	1	2	2	0.0	0.0	0.0	0.0	0.0
j	1	1	3	2	0.0	0.0	0.0	0.0	0.0
j	1	1	4	2	0.0	0.0	0.0	0.0	0.0
j	1	1	5	2	0.0	0.0	0.0	0.0	0.0
j	2	2	1	2	0.0	0.0	0.0	0.0	0.0
y	2	2	2	1	0.9666666666666667	1.0	0.005391790171635805	0.005391790171635805	0.005391790171635805
j	2	2	3	2	0.0	0.0	0.0	0.0	0.0
j	2	2	4	2	0.0	0.0	0.0	0.0	0.0
j	2	2	5	2	0.0	0.0	0.0	0.0	0.0
j	3	3	1	2	0.0	0.0	0.0	0.0	0.0
j	3	3	2	2	0.0	0.0	0.0	0.0	0.0
y	3	3	3	1	0.9666666666666667	1.0	0.005391790171635805	0.005391790171635805	0.005391790171635805
j	3	3	4	2	0.0	0.0	0.0	0.0	0.0
j	3	3	5	2	0.0	0.0	0.0	0.0	0.0
j	4	4	1	2	0.0	0.0	0.0	0.0	0.0
j	4	4	2	2	0.0	0.0	0.0	0.0	0.0
j	4	4	3	2	0.0	0.0	0.0	0.0	0.0
y	4	4	4	1	0.9666666666666667	1.0	0.005391790171635805	0.005391790171635805	0.005391790171635805
j	4	4	5	2	0.0	0.0	0.0	0.0	0.0
j	5	5	1	2	0.0	0.0	0.0	0.0	0.0
j	5	5	2	2	0.0	0.0	0.0	0.0	0.0
j	5	5	3	2	0.0	0.0	0.0	0.0	0.0
j	5	5	4	2	0.0	0.0	0.0	0.0	0.0
y	5	5	5	1	0.9666666666666667	1.0	0.005391790171635805	0.005391790171635805	0.005391790171635805
v	6	2	1	2	1.9333333333333333	0.3169385376228223	0.0017088660921673582	0.0017088660921673582	0.0017088660921673582
s	6	6	1	2	1.9333333333333333	0.3169385376228223	0.0017088660921673582	0.0017088660921673582	0.0017088660921673582
s	6	6	2	2	1.9333333333333333	0.3169385376228223	0.0017088660921673582	0.0017088660921673582	0.0017088660921673582
j	6	6	3	2	0.10000868079363162	0.016394795710510987	8.839729837791e-5	8.839729837791e-5	8.840186045779385e-5
j	6	6	4	2	0.10000868079363162	0.016394795710510987	8.839729837791e-5	8.839729837791e-5	8.840419693922883e-5
j	6	6	5	2	0.10000868079363162	0.016394795710510987	8.839729837791e-5	8.839729837791e-5	8.839729837791e-5
v	7	3	1	2	1.9333333333333333	0.31693853177193015	0.0017088660606205753	0.0017088660606205753	0.0017088660606205753
s	7	7	1	2	1.9333333333333333	0.31693853177193015	0.0017088660606205753	0.0017088660606205753	0.0017088660606205753
j	7	7	2	2	0.10000871833045294	0.016394801561403244	8.839732992469336e-5	8.839732992469336e-5	8.840187541543141e-5
s	7	7	3	2	1.9333333333333333	0.31693853177193015	0.0017088660606205753	0.0017088660606205753	0.0017088660606205753
j	7	7	4	2	0.10000871833045294	0.016394801561403244	8.839732992469336e-5	8.839732992469336e-5	8.840424238852123e-5
j	7	7	5	2	0.10000871833045294	0.016394801561403244	8.839732992469336e-5	8.839732992469336e-5	8.839732992469336e-5
v	8	4	1	2	1.9333333333333333	0.31693878626834054	0.0017088674328118196	0.0017088674328118196	0.0017088674328118196
s	8	8	1	2	1.9333333333333333	0.31693878626834054	0.0017088674328118196	0.0017088674328118196	0.0017088674328118196
j	8	8	2	2	0.10000708559165386	0.016394547064992836	8.839595773344901e-5	8.839595773344901e-5	8.840356123717639e-5
j	8	8	3	2	0.10000708559165386	0.016394547064992836	8.839595773344901e-5	8.839595773344901e-5	8.84035917275241e-5
s	8	8	4	2	1.9333333333333333	0.31693878626834054	0.0017088674328118196	0.0017088674328118196	0.0017088674328118196
j	8	8	5	2	0.10000708559165386	0.016394547064992836	8.839595773344901e-5	8.839595773344901e-5	8.839910735404378e-5
v	9	5	1	2	1.9333333333333333	0.31693989071038253	0.0017088733877315668	0.0017088733877315668	0.0017088733877315668
s	9	9	1	2	1.9333333333333333	0.31693989071038253	0.0017088733877315668	0.0017088733877315668	0.0017088733877315668
j	9	9	2	2	0.1	0.01639344262295082	8.839000281370173e-5	8.839000281370173e-5	8.839383929056934e-5
j	9	9	3	2	0.1	0.01639344262295082	8.839000281370173e-5	8.839000281370173e-5	8.839385587996806e-5
j	9	9	4	2	0.1	0.01639344262295082	8.839000281370173e-5	8.839000281370173e-5	8.839628369944891e-5
s	9	9	5	2	1.9333333333333333	0.31693989071038253	0.0017088733877315668	0.0017088733877315668	0.0017088733877315668
v	10	3	2	2	1.9333333333333333	0.3169396407801945	0.0017088720401604353	0.0017088720401604353	0.0017088720401604353
j	10	10	1	2	0.10000160343269496	0.016393692553138862	8.839135038483321e-5	8.839135038483321e-5	8.839904004519994e-5
s	10	10	2	2	1.9333333333333333	0.3169396407801945	0.0017088720401604353	0.0017088720401604353	0.0017088720401604353
s	10	10	3	2	1.9333333333333333	0.3169396407801945	0.0017088720401604353	0.0017088720401604353	0.0017088720401604353
j	10	10	4	2	0.10000160343269496	0.016393692553138862	8.839135038483321e-5	8.839135038483321e-5	8.839889742806451e-5
j	10	10	5	2	0.10000160343269496	0.016393692553138862	8.839135038483321e-5	8.839135038483321e-5	8.839135038483321e-5
v	11	4	2	2	1.9333333333333333	0.3169385622977071	0.0017088662252091596	0.0017088662252091596	0.0017088662252091596
j	11	11	1	2	0.10000852249014369	0.01639477103562623	8.839716533610887e-5	8.839716533610887e-5	8.840413385494304e-5
s	11	11	2	2	1.9333333333333333	0.3169385622977071	0.0017088662252091596	0.0017088662252091596	0.0017088662252091596
j	11	11	3	2	0.10000852249014369	0.01639477103562623	8.839716533610887e-5	8.839716533610887e-5	8.840165475050686e-5
s	11	11	4	2	1.9333333333333333	0.3169385622977071	0.0017088662252091596	0.0017088662252091596	0.0017088662252091596
j	11	11	5	2	0.10000852249014369	0.01639477103562623	8.839716533610887e-5	8.839716533610887e-5	8.840031499973152e-5
v	12	5	2	2	1.9333333333333333	0.31693989071038253	0.0017088733877315668	0.0017088733877315668	0.0017088733877315668
j	12	12	1	2	0.1	0.01639344262295082	8.839000281370173e-5	8.839000281370173e-5	8.839383929056934e-5
s	12	12	2	2	1.9333333333333333	0.31693989071038253	0.0017088733877315668	0.0017088733877315668	0.0017088733877315668
j	12	12	3	2	0.1	0.01639344262295082	8.839000281370173e-5	8.839000281370173e-5	8.839071145080383e-5
j	12	12	4	2	0.1	0.01639344262295082	8.839000281370173e-5	8.839000281370173e-5	8.839691873675673e-5
s	12	12	5	2	1.9333333333333333	0.31693989071038253	0.0017088733877315668	0.0017088733877315668	0.0017088733877315668
v	13	4	3	2	1.9333333333333333	0.31693855739572413	0.0017088661987786958	0.0017088661987786958	0.0017088661987786958
j	13	13	1	2	0.10000855393916402	0.016394775937609195	8.839719176657244e-5	8.839719176657244e-5	8.840417687823813e-5
j	13	13	2	2	0.10000855393916402	0.016394775937609195	8.839719176657244e-5	8.839719176657244e-5	8.840166728228735e-5
s	13	13	3	2	1.9333333333333333	0.31693855739572413	0.0017088661987786958	0.0017088661987786958	0.0017088661987786958
s	13	13	4	2	1.9333333333333333	0.31693855739572413	0.0017088661987786958	0.0017088661987786958	0.0017088661987786958
j	13	13	5	2	0.10000855393916402	0.016394775937609195	8.839719176657244e-5	8.839719176657244e-5	8.840034143113683e-5
v	14	5	3	2	1.9333333333333333	0.31693989071038253	0.0017088733877315668	0.0017088733877315668	0.0017088733877315668
j	14	14	1	2	0.1	0.01639344262295082	8.839000281370173e-5	8.839000281370173e-5	8.839385587996806e-5
j	14	14	2	2	0.1	0.01639344262295082	8.839000281370173e-5	8.839000281370173e-5	8.839071145080383e-5
s	14	14	3	2	1.9333333333333333	0.31693989071038253	0.0017088733877315668	0.0017088733877315668	0.0017088733877315668
j	14	14	4	2	0.1	0.01639344262295082	8.839000281370173e-5	8.839000281370173e-5	8.83969326356517e-5
s	14	14	5	2	1.9333333333333333	0.31693989071038253	0.0017088733877315668	0.0017088733877315668	0.0017088733877315668
v	15	5	4	2	1.9333333333333333	0.31693877994424086	0.001708867398713601	0.001708867398713601	0.001708867398713601
j	15	15	1	2	0.1000071261643078	0.01639455338909249	8.839599183166737e-5	8.839599183166737e-5	8.839912352117715e-5
j	15	15	2	2	0.1000071261643078	0.01639455338909249	8.839599183166737e-5	8.839599183166737e-5	8.8399758601513e-5
j	15	15	3	2	0.1000071261643078	0.01639455338909249	8.839599183166737e-5	8.839599183166737e-5	8.839977250134972e-5
s	15	15	4	2	1.9333333333333333	0.31693877994424086	0.001708867398713601	0.001708867398713601	0.001708867398713601
s	15	15	5	2	1.9333333333333333	0.31693877994424086	0.001708867398713601	0.001708867398713601	0.001708867398713601
v	16	6	3	2	1.9333333333333333	0.1629211164106543	0.0008784364742148987	0.0008784364742148987	0.0008784364742148987
v	16	7	2	2	1.9333333333333333	0.1629211164106543	0.0008784364742148987	0.0008784364742148987	0.0008784364742148987
v	16	10	1	2	1.9333333333333333	0.1629211164106543	0.0008784364742148987	0.0008784364742148987	0.0008784364742148987
s	16	16	1	2	1.9333333333333333	0.1629211164106543	0.0008784364742148987	0.0008784364742148987	0.0008784364742148987
s	16	16	2	2	1.9333333333333333	0.1629211164106543	0.0008784364742148987	0.0008784364742148987	0.0008784364742148987
