7803215.91	872476.36	16911107.15	268653.12	0.00
7802692.72	872291.81	16885634.67	276402.57	0.00
7802175.69	872101.21	16859829.11	278553.32	0.00
7801663.03	871922.60	16833672.82	280570.83	0.00
7801147.34	871734.34	16807173.82	282456.11	0.00
7800659.03	871547.54	16780365.84	284210.19	0.00
7800170.01	871360.48	16753206.62	285834.11	0.00
7799573.43	871170.87	16725746.81	287328.92	0.00
7798973.28	870980.32	16697975.18	288695.67	0.00
7798372.19	870787.01	16669867.88	289935.43	0.00
7797776.39	870600.65	16641599.57	291049.27	0.00
7797738.07	870940.38	16618987.30	292038.29	0.00
7797593.43	871320.69	16617408.38	292903.56	0.00
7797445.83	871695.56	16615792.68	293677.74	0.00
7797314.61	872068.68	16614108.68	294444.86	0.00
7797198.74	872439.83	16612416.09	295135.05	0.00
7797077.31	872806.49	16610664.53	295742.27	0.00
7796983.46	873163.81	16608865.05	296268.06	0.00
7796897.25	873527.27	16607046.05	296693.34	0.00
7796829.67	873880.98	16605189.13	297003.71	0.00
7796763.04	874235.34	16603266.50	297197.81	0.00
7796960.04	874557.25	16601385.05	297274.67	0.00
7797196.37	874879.18	16599455.71	297234.63	0.00
7797460.20	875197.25	16597464.27	297078.18	0.00
7797740.07	875507.80	16595455.74	296800.72	0.00
7798041.83	875815.36	16593399.30	296390.62	0.00
7798380.08	876118.47	16591301.95	295839.11	0.00
7798826.90	876421.78	16589175.62	295142.32	0.00
7799459.10	876726.88	16587000.63	294296.68	0.00
7800143.59	877014.95	16584784.88	293299.77	0.00
7800964.76	877314.08	16582513.78	292147.56	0.00
7801710.38	877306.91	16578318.25	290837.02	0.00
7802211.00	877303.36	16574136.46	289368.39	0.00
7802741.32	877305.70	16569961.12	287741.95	0.00
7802949.44	877283.21	16565567.57	285958.07	7425718.44
7802977.87	877263.54	16561166.91	284017.20	7418312.17
7802995.61	877251.56	16556776.81	281920.40	7410905.29
7803008.15	877240.33	16552433.84	279665.84	7403497.80
7803012.04	877239.31	16548104.81	277267.20	7396089.70
7802495.23	877247.41	16543770.10	274802.62	7388680.99
7801909.36	877262.44	16539487.75	272275.90	7399450.39
7802027.02	877676.92	16537901.16	269734.23	7407227.32
7802165.15	878082.03	16536261.81	267199.07	7433088.28
7802299.35	878496.65	16534611.97	264748.91	7458854.55
7802442.56	878904.64	16532929.31	262286.43	7484526.12
7802525.92	879305.14	16531205.73	259741.27	7510102.99
7802604.30	879713.96	16529474.36	257114.83	7535585.15
7802585.47	880118.48	16527692.78	254408.49	7560972.59
7802568.06	880515.24	16525907.55	251623.64	7586265.31
7802955.71	880942.62	16524484.46	248761.69	7611463.30
7803338.38	881367.28	16523050.55	245824.05	7636566.56
7803756.93	881805.49	16521594.59	242812.13	7661575.07
7804165.11	882242.18	16520142.05	239727.36	7686488.84
7804616.96	882688.27	16518673.92	236571.18	7711307.85
7804855.39	883135.49	16517202.27	233345.02	7736032.10
7804997.13	883581.72	16515724.52	230050.32	7760661.58
7805111.73	884037.70	16514231.48	226688.53	7785196.30
7805019.45	884512.82	16512904.34	223261.12	7809636.23
7804920.78	884981.04	16511509.17	219769.55	7833981.38
7804824.75	885472.00	16510158.13	216215.29	7858231.75
7804750.19	885958.76	16508798.28	212599.82	7882387.32
7805127.65	886608.01	16508768.37	208924.62	7906448.09
7805514.71	887266.09	16508766.30	205191.17	7930414.05
7805940.54	887929.79	16508739.62	201400.99	7954285.21
7806379.81	888596.54	16508763.29	197555.57	7978061.55
7806847.96	889272.71	16508756.16	193656.41	8001743.07
7807314.71	889956.64	16508738.58	189705.04	8025329.77
7807820.89	890646.34	16508730.63	185702.96	8048821.64
7808281.01	891310.58	16508516.99	181651.72	8072218.67
7808617.54	891918.69	16507869.98	177552.84	8095520.86
7804477.75	837618.52	16601206.74	173802.42	6835111.03
7805124.69	837742.70	16601744.91	173591.52	8110280.77
7805752.85	837867.30	16602330.88	173733.38	8101832.67
7806377.27	837990.81	16602932.98	173946.95	8093383.90
7807016.30	838118.60	16603549.32	174894.76	8084934.46
7807016.30	838118.60	16603549.32	174894.76	8084934.46
7807016.30	838118.60	16603549.32	174894.76	8084934.46
7807016.30	838118.60	16603549.32	174894.76	8084934.46
7807016.30	838118.60	16603549.32	174894.76	8084934.46

END
